date,montant_total,nb_transactions,nb_clients,use_case
2022-07-13,134162,34,30,mobile_money
2022-07-14,173075,55,47,mobile_money
2022-07-15,237644,61,54,mobile_money
2022-07-16,128130,37,30,mobile_money
2022-07-17,121319,30,25,mobile_money
2022-07-18,110361,35,27,mobile_money
2022-07-19,191170,56,43,mobile_money
2022-07-20,158526,48,44,mobile_money
2022-07-21,143716,46,39,mobile_money
2022-07-22,185711,58,48,mobile_money
2022-07-23,156820,35,32,mobile_money
2022-07-24,114563,35,30,mobile_money
2022-07-25,185159,42,36,mobile_money
2022-07-26,149084,35,27,mobile_money
2022-07-27,257817,73,60,mobile_money
2022-07-28,158352,49,42,mobile_money
2022-07-29,234290,68,58,mobile_money
2022-07-30,209000,55,41,mobile_money
2022-07-31,129932,37,28,mobile_money
2022-08-01,292292,86,76,mobile_money
2022-08-02,246972,59,51,mobile_money
2022-08-03,125998,35,32,mobile_money
2022-08-04,291770,68,64,mobile_money
2022-08-05,513257,116,91,mobile_money
2022-08-06,309374,99,88,mobile_money
2022-08-07,229530,71,64,mobile_money
2022-08-08,210918,63,49,mobile_money
2022-08-09,197176,49,41,mobile_money
2022-08-10,162810,46,42,mobile_money
2022-08-11,220400,60,49,mobile_money
2022-08-12,166594,45,36,mobile_money
2022-08-13,153127,45,41,mobile_money
2022-08-14,175243,49,42,mobile_money
2022-08-15,172936,54,50,mobile_money
2022-08-16,206007,52,42,mobile_money
2022-08-17,194645,49,41,mobile_money
2022-08-18,163107,37,33,mobile_money
2022-08-19,157165,46,41,mobile_money
2022-08-20,123123,40,34,mobile_money
2022-08-21,136853,38,34,mobile_money
2022-08-22,170699,53,48,mobile_money
2022-08-23,165742,39,30,mobile_money
2022-08-24,137724,41,36,mobile_money
2022-08-25,204158,50,42,mobile_money
2022-08-26,304003,90,73,mobile_money
2022-08-27,133105,36,33,mobile_money
2022-08-28,216055,66,57,mobile_money
2022-08-29,338192,111,102,mobile_money
2022-08-30,261819,59,50,mobile_money
2022-08-31,268940,66,51,mobile_money
2022-09-01,338309,87,75,mobile_money
2022-09-02,449637,102,95,mobile_money
2022-09-03,272830,74,57,mobile_money
2022-09-04,241537,62,51,mobile_money
2022-09-05,367437,119,97,mobile_money
2022-09-06,180154,47,43,mobile_money
2022-09-07,129560,36,29,mobile_money
2022-09-08,181717,54,45,mobile_money
2022-09-09,279046,86,67,mobile_money
2022-09-10,78178,17,13,mobile_money
2022-09-11,133993,34,29,mobile_money
2022-09-12,172159,55,52,mobile_money
2022-09-13,153537,40,34,mobile_money
2022-09-14,200828,60,55,mobile_money
2022-09-15,206275,62,48,mobile_money
2022-09-16,206760,53,40,mobile_money
2022-09-17,160059,38,31,mobile_money
2022-09-18,61779,17,14,mobile_money
2022-09-19,214032,66,51,mobile_money
2022-09-20,144763,36,29,mobile_money
2022-09-21,165256,54,42,mobile_money
2022-09-22,244203,80,63,mobile_money
2022-09-23,274409,81,71,mobile_money
2022-09-24,170149,42,33,mobile_money
2022-09-25,166231,52,41,mobile_money
2022-09-26,284488,67,55,mobile_money
2022-09-27,310730,77,60,mobile_money
2022-09-28,324552,107,82,mobile_money
2022-09-29,269559,81,61,mobile_money
2022-09-30,301269,82,76,mobile_money
2022-10-01,203513,48,39,mobile_money
2022-10-02,189827,48,38,mobile_money
2022-10-03,195782,49,40,mobile_money
2022-10-04,166320,48,45,mobile_money
2022-10-05,567977,137,106,mobile_money
2022-10-06,394341,90,81,mobile_money
2022-10-07,548247,150,113,mobile_money
2022-10-08,292752,74,59,mobile_money
2022-10-09,118443,36,33,mobile_money
2022-10-10,178422,54,43,mobile_money
2022-10-11,216017,71,66,mobile_money
2022-10-12,215270,63,54,mobile_money
2022-10-13,161921,40,36,mobile_money
2022-10-14,209571,53,46,mobile_money
2022-10-15,218288,66,61,mobile_money
2022-10-16,92055,24,18,mobile_money
2022-10-17,125141,38,34,mobile_money
2022-10-18,201082,59,48,mobile_money
2022-10-19,170602,49,40,mobile_money
2022-10-20,157139,40,33,mobile_money
2022-10-21,244077,61,57,mobile_money
2022-10-22,150111,49,39,mobile_money
2022-10-23,167124,42,31,mobile_money
2022-10-24,290544,82,74,mobile_money
2022-10-25,213808,67,51,mobile_money
2022-10-26,266135,65,54,mobile_money
2022-10-27,383716,113,103,mobile_money
2022-10-28,334752,98,85,mobile_money
2022-10-29,304889,86,66,mobile_money
2022-10-30,207816,63,54,mobile_money
2022-10-31,282803,65,58,mobile_money
2022-11-01,371954,92,84,mobile_money
2022-11-02,426601,126,106,mobile_money
2022-11-03,386320,118,101,mobile_money
2022-11-04,362884,82,62,mobile_money
2022-11-05,228837,52,49,mobile_money
2022-11-06,198173,44,37,mobile_money
2022-11-07,197360,56,51,mobile_money
2022-11-08,211934,69,59,mobile_money
2022-11-09,192469,61,54,mobile_money
2022-11-10,195680,55,49,mobile_money
2022-11-11,201857,52,47,mobile_money
2022-11-12,166492,47,41,mobile_money
2022-11-13,160806,48,36,mobile_money
2022-11-14,228358,53,39,mobile_money
2022-11-15,219595,49,44,mobile_money
2022-11-16,264713,58,47,mobile_money
2022-11-17,196100,52,45,mobile_money
2022-11-18,276501,64,60,mobile_money
2022-11-19,176730,48,43,mobile_money
2022-11-20,202922,60,46,mobile_money
2022-11-21,139256,40,31,mobile_money
2022-11-22,161823,52,39,mobile_money
2022-11-23,204693,57,50,mobile_money
2022-11-24,223730,67,62,mobile_money
2022-11-25,262401,59,49,mobile_money
2022-11-26,236742,60,47,mobile_money
2022-11-27,215367,55,46,mobile_money
2022-11-28,286809,85,66,mobile_money
2022-11-29,249620,59,48,mobile_money
2022-11-30,249112,80,75,mobile_money
2022-12-01,487172,120,93,mobile_money
2022-12-02,355906,84,66,mobile_money
2022-12-03,352400,90,77,mobile_money
2022-12-04,191159,60,55,mobile_money
2022-12-05,290917,67,63,mobile_money
2022-12-06,231116,53,48,mobile_money
2022-12-07,279096,89,74,mobile_money
2022-12-08,362082,101,80,mobile_money
2022-12-09,261661,83,65,mobile_money
2022-12-10,302947,75,57,mobile_money
2022-12-11,191349,51,44,mobile_money
2022-12-12,279350,65,53,mobile_money
2022-12-13,289221,85,78,mobile_money
2022-12-14,355863,84,74,mobile_money
2022-12-15,310627,76,67,mobile_money
2022-12-16,285042,72,64,mobile_money
2022-12-17,213049,60,53,mobile_money
2022-12-18,184728,56,51,mobile_money
2022-12-19,222373,73,58,mobile_money
2022-12-20,311998,79,74,mobile_money
2022-12-21,180137,45,38,mobile_money
2022-12-22,374235,89,68,mobile_money
2022-12-23,458702,103,84,mobile_money
2022-12-24,622861,157,147,mobile_money
2022-12-25,257040,74,65,mobile_money
2022-12-26,367538,118,102,mobile_money
2022-12-27,428881,139,128,mobile_money
2022-12-28,231989,52,49,mobile_money
2022-12-29,380070,91,68,mobile_money
2022-12-30,616912,203,165,mobile_money
2022-12-31,840669,208,174,mobile_money
2023-01-01,364107,106,100,mobile_money
2023-01-02,238475,73,66,mobile_money
2023-01-03,156631,38,30,mobile_money
2023-01-04,306840,77,61,mobile_money
2023-01-05,274906,62,48,mobile_money
2023-01-06,238545,65,57,mobile_money
2023-01-07,174287,48,38,mobile_money
2023-01-08,142014,32,25,mobile_money
2023-01-09,184936,55,41,mobile_money
2023-01-10,141638,32,27,mobile_money
2023-01-11,249062,55,43,mobile_money
2023-01-12,220673,53,48,mobile_money
2023-01-13,221205,53,46,mobile_money
2023-01-14,183563,43,36,mobile_money
2023-01-15,167800,52,40,mobile_money
2023-01-16,153062,46,39,mobile_money
2023-01-17,266846,86,74,mobile_money
2023-01-18,246769,71,59,mobile_money
2023-01-19,175830,58,44,mobile_money
2023-01-20,175353,44,35,mobile_money
2023-01-21,79095,19,17,mobile_money
2023-01-22,102190,30,28,mobile_money
2023-01-23,168605,52,44,mobile_money
2023-01-24,258038,67,50,mobile_money
2023-01-25,247413,70,59,mobile_money
2023-01-26,250509,82,62,mobile_money
2023-01-27,225637,62,48,mobile_money
2023-01-28,317651,75,59,mobile_money
2023-01-29,236518,72,55,mobile_money
2023-01-30,320919,105,98,mobile_money
2023-01-31,332598,108,92,mobile_money
2023-02-01,346728,85,77,mobile_money
2023-02-02,328985,93,84,mobile_money
2023-02-03,387218,105,92,mobile_money
2023-02-04,283195,74,66,mobile_money
2023-02-05,186944,43,34,mobile_money
2023-02-06,154094,34,27,mobile_money
2023-02-07,200864,50,42,mobile_money
2023-02-08,163589,42,37,mobile_money
2023-02-09,183206,55,48,mobile_money
2023-02-10,189567,60,45,mobile_money
2023-02-11,152935,35,31,mobile_money
2023-02-12,84222,20,16,mobile_money
2023-02-13,114977,25,18,mobile_money
2023-02-14,118416,27,23,mobile_money
2023-02-15,240205,64,59,mobile_money
2023-02-16,174056,40,33,mobile_money
2023-02-17,210108,48,38,mobile_money
2023-02-18,108139,27,23,mobile_money
2023-02-19,109217,26,24,mobile_money
2023-02-20,175638,53,42,mobile_money
2023-02-21,183182,54,49,mobile_money
2023-02-22,233246,63,53,mobile_money
2023-02-23,241751,74,61,mobile_money
2023-02-24,119944,26,20,mobile_money
2023-02-25,108984,26,20,mobile_money
2023-02-26,208171,46,38,mobile_money
2023-02-27,231603,66,60,mobile_money
2023-02-28,178315,48,38,mobile_money
2023-03-01,387922,119,93,mobile_money
2023-03-02,383626,125,112,mobile_money
2023-03-03,299804,70,63,mobile_money
2023-03-04,393917,101,93,mobile_money
2023-03-05,230842,67,51,mobile_money
2023-03-06,179140,47,44,mobile_money
2023-03-07,223882,64,54,mobile_money
2023-03-08,196037,64,49,mobile_money
2023-03-09,234872,63,53,mobile_money
2023-03-10,216705,58,51,mobile_money
2023-03-11,216131,65,57,mobile_money
2023-03-12,114755,25,19,mobile_money
2023-03-13,146864,34,26,mobile_money
2023-03-14,267746,66,60,mobile_money
2023-03-15,213442,56,48,mobile_money
2023-03-16,214463,49,42,mobile_money
2023-03-17,247077,74,65,mobile_money
2023-03-18,225368,62,54,mobile_money
2023-03-19,160514,35,26,mobile_money
2023-03-20,148044,33,27,mobile_money
2023-03-21,202397,52,46,mobile_money
2023-03-22,215559,49,40,mobile_money
2023-03-23,272502,64,57,mobile_money
2023-03-24,163938,39,32,mobile_money
2023-03-25,174843,45,33,mobile_money
2023-03-26,205499,58,47,mobile_money
2023-03-27,350215,97,81,mobile_money
2023-03-28,244860,72,59,mobile_money
2023-03-29,388261,98,82,mobile_money
2023-03-30,374996,105,96,mobile_money
2023-03-31,137261,45,36,mobile_money
2023-04-01,575892,161,133,mobile_money
2023-04-02,575929,147,132,mobile_money
2023-04-03,1080490,256,228,mobile_money
2023-04-04,651557,193,180,mobile_money
2023-04-05,492336,159,148,mobile_money
2023-04-06,220632,59,47,mobile_money
2023-04-07,210003,61,49,mobile_money
2023-04-08,201348,58,50,mobile_money
2023-04-09,213982,52,41,mobile_money
2023-04-10,162861,49,43,mobile_money
2023-04-11,204803,62,53,mobile_money
2023-04-12,192469,49,39,mobile_money
2023-04-13,235518,52,44,mobile_money
2023-04-14,237730,77,67,mobile_money
2023-04-15,257781,58,50,mobile_money
2023-04-16,174494,52,41,mobile_money
2023-04-17,204125,52,43,mobile_money
2023-04-18,217009,52,41,mobile_money
2023-04-19,319907,75,62,mobile_money
2023-04-20,400091,101,84,mobile_money
2023-04-21,248719,64,50,mobile_money
2023-04-22,245187,73,56,mobile_money
2023-04-23,173362,57,50,mobile_money
2023-04-24,226126,67,55,mobile_money
2023-04-25,309908,79,67,mobile_money
2023-04-26,232363,63,56,mobile_money
2023-04-27,368356,91,86,mobile_money
2023-04-28,433874,127,97,mobile_money
2023-04-29,578948,185,171,mobile_money
2023-04-30,392856,117,96,mobile_money
2023-05-01,311353,100,85,mobile_money
2023-05-02,409941,94,82,mobile_money
2023-05-03,228610,60,48,mobile_money
2023-05-04,407061,90,79,mobile_money
2023-05-05,254931,66,59,mobile_money
2023-05-06,160871,41,38,mobile_money
2023-05-07,147656,45,39,mobile_money
2023-05-08,193936,61,51,mobile_money
2023-05-09,143523,34,27,mobile_money
2023-05-10,249033,56,44,mobile_money
2023-05-11,245756,68,53,mobile_money
2023-05-12,274015,72,62,mobile_money
2023-05-13,199712,63,56,mobile_money
2023-05-14,160225,38,33,mobile_money
2023-05-15,182947,59,47,mobile_money
2023-05-16,171326,54,50,mobile_money
2023-05-17,145294,37,30,mobile_money
2023-05-18,152689,39,33,mobile_money
2023-05-19,106753,24,20,mobile_money
2023-05-20,172036,48,44,mobile_money
2023-05-21,148535,34,30,mobile_money
2023-05-22,160356,51,42,mobile_money
2023-05-23,248813,76,67,mobile_money
2023-05-24,218924,55,50,mobile_money
2023-05-25,212733,66,60,mobile_money
2023-05-26,273922,70,63,mobile_money
2023-05-27,292814,89,75,mobile_money
2023-05-28,164254,46,35,mobile_money
2023-05-29,232225,76,59,mobile_money
2023-05-30,282209,63,52,mobile_money
2023-05-31,319692,92,78,mobile_money
2023-06-01,274649,69,54,mobile_money
2023-06-02,328785,83,73,mobile_money
2023-06-03,288784,93,88,mobile_money
2023-06-04,335075,108,96,mobile_money
2023-06-05,281193,69,52,mobile_money
2023-06-06,213700,56,53,mobile_money
2023-06-07,239922,69,60,mobile_money
2023-06-08,281269,74,61,mobile_money
2023-06-09,160248,45,37,mobile_money
2023-06-10,173972,41,36,mobile_money
2023-06-11,137152,45,36,mobile_money
2023-06-12,82891,20,15,mobile_money
2023-06-13,134718,44,35,mobile_money
2023-06-14,215907,48,43,mobile_money
2023-06-15,219045,69,59,mobile_money
2023-06-16,248407,67,61,mobile_money
2023-06-17,195491,60,48,mobile_money
2023-06-18,127668,31,26,mobile_money
2023-06-19,133926,36,32,mobile_money
2023-06-20,134065,30,28,mobile_money
2023-06-21,177332,43,36,mobile_money
2023-06-22,263575,77,70,mobile_money
2023-06-23,335488,84,78,mobile_money
2023-06-24,182156,46,40,mobile_money
2023-06-25,213169,66,59,mobile_money
2023-06-26,377658,100,88,mobile_money
2023-06-27,566295,182,136,mobile_money
2023-06-28,352976,79,70,mobile_money
2023-06-29,252016,71,64,mobile_money
2023-06-30,229778,57,44,mobile_money
2023-07-01,344144,101,76,mobile_money
2023-07-02,287331,91,85,mobile_money
2023-07-03,367464,93,76,mobile_money
2023-07-04,280061,84,65,mobile_money
2023-07-05,417383,105,89,mobile_money
2023-07-06,267455,87,82,mobile_money
2023-07-07,185311,41,35,mobile_money
2023-07-08,213425,55,49,mobile_money
2023-07-09,173508,54,44,mobile_money
2023-07-10,232243,52,41,mobile_money
2023-07-11,162392,44,38,mobile_money
2023-07-12,113736,25,19,mobile_money
2023-07-13,183814,42,36,mobile_money
2023-07-14,191387,55,50,mobile_money
2023-07-15,171992,41,34,mobile_money
2023-07-16,158530,37,33,mobile_money
2023-07-17,213232,65,55,mobile_money
2023-07-18,262303,58,54,mobile_money
2023-07-19,234894,55,43,mobile_money
2023-07-20,181505,48,44,mobile_money
2023-07-21,217780,56,47,mobile_money
2023-07-22,251419,72,62,mobile_money
2023-07-23,188262,47,42,mobile_money
2023-07-24,207004,63,53,mobile_money
2023-07-25,198454,47,37,mobile_money
2023-07-26,218478,57,51,mobile_money
2023-07-27,200337,56,50,mobile_money
2023-07-28,295568,77,57,mobile_money
2023-07-29,204943,46,37,mobile_money
2023-07-30,226579,64,49,mobile_money
2023-07-31,294700,65,53,mobile_money
2023-08-01,292795,79,70,mobile_money
2023-08-02,334534,93,77,mobile_money
2023-08-03,391852,96,72,mobile_money
2023-08-04,294889,70,53,mobile_money
2023-08-05,594479,153,129,mobile_money
2023-08-06,310168,80,68,mobile_money
2023-08-07,262621,68,59,mobile_money
2023-08-08,301434,88,80,mobile_money
2023-08-09,245809,65,49,mobile_money
2023-08-10,201352,48,42,mobile_money
2023-08-11,182382,43,36,mobile_money
2023-08-12,130247,37,30,mobile_money
2023-08-13,134317,42,33,mobile_money
2023-08-14,238490,53,49,mobile_money
2023-08-15,237339,59,49,mobile_money
2023-08-16,264267,83,69,mobile_money
2023-08-17,239617,56,46,mobile_money
2023-08-18,295346,90,74,mobile_money
2023-08-19,256212,73,55,mobile_money
2023-08-20,164457,47,44,mobile_money
2023-08-21,112331,33,27,mobile_money
2023-08-22,211418,57,48,mobile_money
2023-08-23,180873,56,42,mobile_money
2023-08-24,199156,54,48,mobile_money
2023-08-25,282396,68,53,mobile_money
2023-08-26,188301,45,39,mobile_money
2023-08-27,204900,46,35,mobile_money
2023-08-28,240801,70,55,mobile_money
2023-08-29,258321,59,47,mobile_money
2023-08-30,328058,89,80,mobile_money
2023-08-31,233576,75,63,mobile_money
2023-09-01,167723,47,43,mobile_money
2023-09-02,359515,118,104,mobile_money
2023-09-03,285303,64,48,mobile_money
2023-09-04,380327,104,83,mobile_money
2023-09-05,448650,136,117,mobile_money
2023-09-06,195797,52,49,mobile_money
2023-09-07,149929,47,36,mobile_money
2023-09-08,283614,84,67,mobile_money
2023-09-09,224896,59,45,mobile_money
2023-09-10,220645,51,45,mobile_money
2023-09-11,228876,59,45,mobile_money
2023-09-12,218706,59,49,mobile_money
2023-09-13,259181,70,58,mobile_money
2023-09-14,290867,73,62,mobile_money
2023-09-15,248582,59,49,mobile_money
2023-09-16,176870,57,51,mobile_money
2023-09-17,145252,44,35,mobile_money
2023-09-18,172679,41,35,mobile_money
2023-09-19,246384,57,52,mobile_money
2023-09-20,227778,67,56,mobile_money
2023-09-21,284783,74,62,mobile_money
2023-09-22,242852,76,66,mobile_money
2023-09-23,190489,45,42,mobile_money
2023-09-24,286866,86,73,mobile_money
2023-09-25,459070,118,103,mobile_money
2023-09-26,577280,137,113,mobile_money
2023-09-27,452599,139,123,mobile_money
2023-09-28,474716,113,91,mobile_money
2023-09-29,322223,98,91,mobile_money
2023-09-30,258381,64,49,mobile_money
2023-10-01,380702,121,112,mobile_money
2023-10-02,268150,63,53,mobile_money
2023-10-03,352912,78,68,mobile_money
2023-10-04,409068,103,80,mobile_money
2023-10-05,364918,112,84,mobile_money
2023-10-06,309486,80,68,mobile_money
2023-10-07,243705,78,69,mobile_money
2023-10-08,189020,57,52,mobile_money
2023-10-09,220054,54,43,mobile_money
2023-10-10,300421,81,74,mobile_money
2023-10-11,130653,34,31,mobile_money
2023-10-12,190278,54,42,mobile_money
2023-10-13,270960,85,67,mobile_money
2023-10-14,236176,73,59,mobile_money
2023-10-15,238038,59,51,mobile_money
2023-10-16,204433,57,52,mobile_money
2023-10-17,251627,63,48,mobile_money
2023-10-18,236988,59,48,mobile_money
2023-10-19,212000,64,58,mobile_money
2023-10-20,242753,72,66,mobile_money
2023-10-21,246731,61,52,mobile_money
2023-10-22,124998,36,28,mobile_money
2023-10-23,226590,52,46,mobile_money
2023-10-24,244244,58,51,mobile_money
2023-10-25,259116,64,55,mobile_money
2023-10-26,293914,92,77,mobile_money
2023-10-27,392606,102,84,mobile_money
2023-10-28,282184,63,48,mobile_money
2023-10-29,205216,49,45,mobile_money
2023-10-30,275368,80,73,mobile_money
2023-10-31,348718,84,76,mobile_money
2023-11-01,362391,119,112,mobile_money
2023-11-02,306971,72,58,mobile_money
2023-11-03,468718,108,83,mobile_money
2023-11-04,381369,121,96,mobile_money
2023-11-05,407250,134,113,mobile_money
2023-11-06,296784,86,69,mobile_money
2023-11-07,162722,39,29,mobile_money
2023-11-08,281088,64,50,mobile_money
2023-11-09,344521,110,87,mobile_money
2023-11-10,263918,85,77,mobile_money
2023-11-11,272034,69,53,mobile_money
2023-11-12,226732,52,44,mobile_money
2023-11-13,250698,66,55,mobile_money
2023-11-14,210737,50,43,mobile_money
2023-11-15,143488,33,27,mobile_money
2023-11-16,311901,80,71,mobile_money
2023-11-17,329512,98,83,mobile_money
2023-11-18,214682,57,50,mobile_money
2023-11-19,145360,32,27,mobile_money
2023-11-20,216168,54,41,mobile_money
2023-11-21,331610,98,80,mobile_money
2023-11-22,224084,69,55,mobile_money
2023-11-23,240906,54,44,mobile_money
2023-11-24,169537,43,34,mobile_money
2023-11-25,199729,60,51,mobile_money
2023-11-26,212443,50,43,mobile_money
2023-11-27,243833,64,51,mobile_money
2023-11-28,308373,98,85,mobile_money
